0	0.00, 24.00
2016-01-08 04	526.81, 47.00
2016-01-08 05	572.31, 226.00
2016-01-08 06	613.07, 859.00
2016-01-08 07	675.01, 1719.00
2016-01-08 08	727.09, 3225.00
2016-01-08 09	723.27, 2291.00
2016-01-08 10	2422.88, 1103.00
2016-01-08 11	890.62, 1039.00
2016-01-08 12	893.51, 1243.00
2016-01-08 13	745.57, 1295.00
2016-01-08 14	1214.43, 1460.00
2016-01-08 15	1057.35, 1504.00
2016-01-08 16	706.34, 2045.00
2016-01-08 17	774.01, 3055.00
2016-01-08 18	732.30, 2799.00
2016-01-08 19	664.43, 1759.00
2016-01-08 20	738.59, 1046.00
2016-01-08 21	675.41, 691.00
2016-01-08 22	653.95, 555.00
2016-01-08 23	1111.52, 400.00
2016-01-09 00	1056.41, 264.00
2016-01-09 01	589.86, 212.00
2016-01-09 02	594.38, 117.00
2016-01-09 03	612.87, 85.00
2016-01-09 04	562.81, 57.00
2016-01-09 05	1194.51, 45.00
2016-01-09 06	640.28, 121.00
2016-01-09 07	672.65, 268.00
2016-01-09 08	686.18, 582.00
2016-01-09 09	885.39, 1116.00
2016-01-09 10	934.86, 1374.00
2016-01-09 11	897.44, 1649.00
2016-01-09 12	860.44, 1560.00
2016-01-09 13	941.82, 1738.00
2016-01-09 14	1159.02, 1805.00
2016-01-09 15	839.10, 1928.00
2016-01-09 16	911.28, 1871.00
2016-01-09 17	944.74, 1464.00
2016-01-09 18	701.91, 1309.00
2016-01-09 19	804.71, 1083.00
2016-01-09 20	905.91, 772.00
2016-01-09 21	922.07, 538.00
2016-01-09 22	790.78, 488.00
2016-01-09 23	978.23, 400.00
2016-01-10 00	739.75, 366.00
2016-01-10 01	1453.80, 244.00
2016-01-10 02	799.47, 169.00
2016-01-10 03	552.94, 31.00
2016-01-10 04	469.24, 17.00
2016-01-10 05	365.67, 6.00
2016-01-10 06	515.45, 11.00
2016-01-10 07	492.42, 24.00
2016-01-10 08	611.95, 88.00
2016-01-10 09	600.96, 403.00
2016-01-10 10	573.37, 510.00
2016-01-10 11	610.97, 784.00
2016-01-10 12	1171.58, 890.00
2016-01-10 13	793.38, 1352.00
2016-01-10 14	983.58, 1637.00
2016-01-10 15	1087.31, 1390.00
2016-01-10 16	930.12, 1396.00
2016-01-10 17	1107.45, 1188.00
2016-01-10 18	695.07, 1126.00
2016-01-10 19	644.02, 964.00
2016-01-10 20	1163.14, 675.00
2016-01-10 21	583.84, 462.00
2016-01-10 22	1987.53, 348.00
2016-01-10 23	674.75, 194.00
2016-01-11 00	542.52, 130.00
2016-01-11 01	633.70, 54.00
2016-01-11 02	485.10, 20.00
2016-01-11 03	737.88, 16.00
2016-01-11 04	501.18, 39.00
2016-01-11 05	557.79, 192.00
2016-01-11 06	615.72, 781.00
2016-01-11 07	662.25, 1582.00
2016-01-11 08	788.54, 2731.00
2016-01-11 09	739.30, 1793.00
2016-01-11 10	716.35, 880.00
2016-01-11 11	975.97, 812.00
2016-01-11 12	661.14, 837.00
2016-01-11 13	740.77, 885.00
2016-01-11 14	855.58, 927.00
2016-01-11 15	766.49, 1039.00
2016-01-11 16	717.57, 1441.00
2016-01-11 17	755.44, 2480.00
2016-01-11 18	651.34, 2495.00
2016-01-11 19	642.83, 1598.00
2016-01-11 20	570.01, 976.00
2016-01-11 21	718.66, 617.00
2016-01-11 22	658.14, 388.00
2016-01-11 23	578.31, 224.00
2016-01-12 00	523.32, 133.00
2016-01-12 01	603.47, 45.00
2016-01-12 02	553.05, 21.00
2016-01-12 03	922.35, 17.00
2016-01-12 04	576.50, 48.00
2016-01-12 05	533.54, 230.00
2016-01-12 06	569.96, 784.00
2016-01-12 07	745.29, 1610.00
2016-01-12 08	753.13, 3005.00
2016-01-12 09	836.83, 2063.00
2016-01-12 10	696.85, 1011.00
2016-01-12 11	697.00, 887.00
2016-01-12 12	729.89, 1027.00
2016-01-12 13	744.20, 1055.00
2016-01-12 14	721.99, 1104.00
2016-01-12 15	652.25, 1195.00
2016-01-12 16	665.61, 1435.00
2016-01-12 17	770.20, 2381.00
2016-01-12 18	715.77, 2724.00
2016-01-12 19	831.56, 1795.00
2016-01-12 20	657.03, 1194.00
2016-01-12 21	714.60, 702.00
2016-01-12 22	822.55, 493.00
2016-01-12 23	759.90, 252.00
2016-01-13 00	530.99, 130.00
2016-01-13 01	533.54, 37.00
2016-01-13 02	643.91, 33.00
2016-01-13 03	595.47, 17.00
2016-01-13 04	606.29, 34.00
2016-01-13 05	614.51, 194.00
2016-01-13 06	585.01, 664.00
2016-01-13 07	638.87, 1383.00
2016-01-13 08	712.73, 2563.00
2016-01-13 09	1469.61, 1770.00
2016-01-13 10	648.46, 864.00
2016-01-13 11	978.46, 665.00
2016-01-13 12	655.08, 760.00
2016-01-13 13	587.45, 852.00
2016-01-13 14	760.42, 904.00
2016-01-13 15	1227.66, 943.00
2016-01-13 16	668.40, 1366.00
2016-01-13 17	796.74, 2225.00
2016-01-13 18	734.09, 2177.00
2016-01-13 19	747.10, 1412.00
2016-01-13 20	663.46, 919.00
2016-01-13 21	710.52, 615.00
2016-01-13 22	760.63, 374.00
2016-01-13 23	683.12, 232.00
2016-01-14 00	499.55, 119.00
2016-01-14 01	517.00, 56.00
2016-01-14 02	493.38, 37.00
2016-01-14 03	728.59, 22.00
2016-01-14 04	564.81, 32.00
2016-01-14 05	534.89, 196.00
2016-01-14 06	610.41, 691.00
2016-01-14 07	600.32, 1445.00
2016-01-14 08	722.81, 2610.00
2016-01-14 09	824.99, 1905.00
2016-01-14 10	695.26, 930.00
2016-01-14 11	1083.27, 785.00
2016-01-14 12	1191.66, 877.00
2016-01-14 13	669.89, 905.00
2016-01-14 14	785.99, 1036.00
