1,2011,38292
2,2011,36549
3,2011,41773
4,2011,41062
5,2011,43751
6,2011,43811
7,2011,44910
8,2011,42973
9,2011,41433
10,2011,42000
11,2011,41211
12,2011,40616
1,2012,41835
2,2012,39179
3,2012,43187
4,2012,41597
5,2012,44859
6,2012,43189
7,2012,45224
8,2012,45582
9,2012,42627
10,2012,41919
11,2012,35874
12,2012,39262
1,2013,39976
2,2013,34803
3,2013,39220
4,2013,40149
5,2013,42694
6,2013,42072
7,2013,44403
8,2013,44325
9,2013,43247
10,2013,44414
11,2013,40518
12,2013,39483
1,2014,39209
2,2014,34509
3,2014,40621
4,2014,39735
5,2014,44447
6,2014,42957
7,2014,44952
8,2014,44896
9,2014,42826
10,2014,44036
11,2014,37891
12,2014,35052
1,2015,34876
2,2015,31178
3,2015,37902
4,2015,39436
5,2015,42746
6,2015,41440
7,2015,44273
8,2015,44766
9,2015,41666
10,2015,41407
11,2015,38418
12,2015,38923
1,2016,37862
2,2016,34524
3,2016,39509
4,2016,39418
5,2016,41690
6,2016,41511
7,2016,41391
8,2016,42436
9,2016,39194
10,2016,40419
11,2016,36188
12,2016,34148
