0	0
2016-02-01	339319
2016-02-02	362289
2016-02-03	371831
2016-02-04	393381
2016-02-05	408102
2016-02-06	427497
2016-02-07	377032
2016-02-08	343546
2016-02-09	367568
2016-02-10	393018
2016-02-11	429873
2016-02-12	433000
2016-02-13	448816
2016-02-14	404178
2016-02-15	351694
2016-02-16	363475
2016-02-17	386407
2016-02-18	409565
2016-02-19	419186
2016-02-20	424474
2016-02-21	376291
2016-02-22	346632
2016-02-23	394943
2016-02-24	400406
2016-02-25	412006
2016-02-26	435828
2016-02-27	440721
2016-02-28	370850
2016-02-29	347626
