0	0
2016-01-01	341854
2016-01-02	311418
2016-01-03	305328
2016-01-04	316222
2016-01-05	343070
2016-01-06	348255
2016-01-07	364086
2016-01-08	389890
2016-01-09	405775
2016-01-10	355229
2016-01-11	342621
2016-01-12	366985
2016-01-13	394594
2016-01-14	395454
2016-01-15	399895
2016-01-16	411266
2016-01-17	382238
2016-01-18	342208
2016-01-19	384639
2016-01-20	381843
2016-01-21	398479
2016-01-22	419122
2016-01-23	83285
2016-01-24	158091
2016-01-25	281230
2016-01-26	327245
2016-01-27	358375
2016-01-28	382732
2016-01-29	412114
2016-01-30	435130
2016-01-31	365812
